evaluator_only,policy_name,policy_kind,fold,selected_expert,selection_count,selection_rate,num_runs_with_selection,total_runs,oracle_agreement_count,oracle_agreement_rate
True,category_shot_prior,realizable_policy,fold2,AnomalyDINO,3538,0.512753623188,31,60,2418,0.68343697004
True,category_shot_prior,realizable_policy,fold2,PatchCore,2476,0.35884057971,22,60,1447,0.584410339257
True,category_shot_prior,realizable_policy,fold2,WinCLIP,886,0.128405797101,7,60,602,0.679458239278
True,category_shot_prior,realizable_policy,fold3,AnomalyDINO,3568,0.517101449275,31,60,2661,0.745795964126
True,category_shot_prior,realizable_policy,fold3,PatchCore,2613,0.378695652174,23,60,1912,0.731725985457
True,category_shot_prior,realizable_policy,fold3,WinCLIP,719,0.104202898551,6,60,641,0.891515994437
True,category_shot_prior,realizable_policy,fold4,AnomalyDINO,3192,0.462608695652,29,60,2383,0.746553884712
True,category_shot_prior,realizable_policy,fold4,PatchCore,2822,0.408985507246,24,60,1621,0.574415308292
True,category_shot_prior,realizable_policy,fold4,WinCLIP,886,0.128405797101,7,60,602,0.679458239278
True,cost_aware,realizable_policy,fold0,AnomalyDINO,3374,0.488985507246,30,60,2649,0.785121517487
True,cost_aware,realizable_policy,fold0,PatchCore,2640,0.382608695652,23,60,1935,0.732954545455
True,cost_aware,realizable_policy,fold0,WinCLIP,886,0.128405797101,7,60,602,0.679458239278
True,cost_aware,realizable_policy,fold1,AnomalyDINO,3610,0.523188405797,32,60,2899,0.803047091413
True,cost_aware,realizable_policy,fold1,PatchCore,2404,0.348405797101,21,60,1825,0.759151414309
True,cost_aware,realizable_policy,fold1,WinCLIP,886,0.128405797101,7,60,886,1
True,cost_aware,realizable_policy,fold2,AnomalyDINO,3538,0.512753623188,31,60,2418,0.68343697004
True,cost_aware,realizable_policy,fold2,PatchCore,2476,0.35884057971,22,60,1447,0.584410339257
True,cost_aware,realizable_policy,fold2,WinCLIP,886,0.128405797101,7,60,602,0.679458239278
True,cost_aware,realizable_policy,fold3,AnomalyDINO,3568,0.517101449275,31,60,2661,0.745795964126
True,cost_aware,realizable_policy,fold3,PatchCore,2613,0.378695652174,23,60,1912,0.731725985457
True,cost_aware,realizable_policy,fold3,WinCLIP,719,0.104202898551,6,60,641,0.891515994437
True,cost_aware,realizable_policy,fold4,AnomalyDINO,2712,0.393043478261,24,60,2263,0.834439528024
True,cost_aware,realizable_policy,fold4,PatchCore,3302,0.478550724638,29,60,1981,0.599939430648
True,cost_aware,realizable_policy,fold4,WinCLIP,886,0.128405797101,7,60,602,0.679458239278
