evaluator_only,policy_name,policy_kind,fold,aggregation,policy_auroc,oracle_auroc,oracle_regret,policy_ap,oracle_ap,ap_regret,policy_f1,oracle_f1,f1_regret
True,always_anomalydino,realizable_policy,fold0,micro,0.512405614772,0.522373299108,0.00996768433631,0.752410167625,0.758494100058,0.00608393243345,0.0403257076386,0.190792928409,0.15046722077
True,always_anomalydino,realizable_policy,fold0,macro_category,0.602904538629,0.623789814855,0.0208852762256,0.80000977368,0.81708148134,0.0170717076601,0.0364184213113,0.159286457032,0.122868035721
True,always_anomalydino,realizable_policy,fold0,macro_run,0.636458849272,0.677933061132,0.0414742118599,0.830750391097,0.852601991298,0.0218516002014,0.031747972006,0.103967489953,0.0722195179474
True,always_anomalydino,realizable_policy,fold1,micro,0.507801249732,0.528047264105,0.0202460143731,0.747204485972,0.759342394029,0.0121379080579,0.0319501266316,0.25751786011,0.225567733478
True,always_anomalydino,realizable_policy,fold1,macro_category,0.605284023841,0.622438105016,0.0171540811754,0.79477353954,0.815235789251,0.0204622497111,0.029889621159,0.223896596627,0.194006975468
True,always_anomalydino,realizable_policy,fold1,macro_run,0.6374531002,0.693018399989,0.0555652997894,0.828939363172,0.85755051894,0.0286111557688,0.0280123568675,0.139593579755,0.111581222887
True,always_anomalydino,realizable_policy,fold2,micro,0.497313021076,0.518975452181,0.0216624311047,0.74436032223,0.756993133168,0.0126328109375,0.0338785046729,0.25751503006,0.223636525387
True,always_anomalydino,realizable_policy,fold2,macro_category,0.589879872478,0.612283251385,0.0224033789071,0.79386923782,0.815069863864,0.0212006260444,0.0332845337614,0.213177414597,0.179892880835
True,always_anomalydino,realizable_policy,fold2,macro_run,0.630136298893,0.672594238137,0.0424579392441,0.827675025401,0.8479055824,0.0202305569992,0.0298615877808,0.145106483089,0.115244895308
True,always_anomalydino,realizable_policy,fold3,micro,0.512729026734,0.539480834437,0.0267518077027,0.751004306743,0.762939095694,0.0119347889508,0.0463678516229,0.267942583732,0.221574732109
True,always_anomalydino,realizable_policy,fold3,macro_category,0.600643355586,0.621449591158,0.0208062355722,0.801131514474,0.813165907722,0.0120343932477,0.0457514623217,0.200316537757,0.154565075435
True,always_anomalydino,realizable_policy,fold3,macro_run,0.630268931402,0.676770821788,0.0465018903859,0.826636899769,0.849978217243,0.0233413174732,0.0405753478268,0.128965922944,0.0883905751176
