evaluator_only,policy_name,policy_kind,fold,split,aggregation,status,selected_expert,num_samples,num_normal,num_anomaly,num_categories,num_runs,auroc,ap,f1,oracle_auroc,oracle_regret,selection_agreement_with_oracle,estimated_runtime_ms,average_estimated_runtime_ms,tool_calls,average_tool_calls,num_abstained,abstention_rate
True,always_patchcore,realizable_policy,fold3,test,micro,ok,,6900,1868,5032,15,60,0.523807801377,0.750636847695,0.0660557464681,0.539480834437,0.0156730330595,0.395652173913,371868.783145,53.8940265427,6900,1,0,0
True,always_patchcore,realizable_policy,fold3,test,macro_category,ok,,6900,1868,5032,15,60,0.61117354226,0.805486934971,0.0592183985861,0.621449591158,0.0102760488986,0.4,371868.783145,53.8940265427,6900,1,0,0
True,always_patchcore,realizable_policy,fold3,test,macro_run,ok,,6900,1868,5032,15,60,0.630901908636,0.8287332916,0.0553109537253,0.676770821788,0.0458689131518,0.4,371868.783145,53.8940265427,6900,1,0,0
True,always_patchcore,realizable_policy,fold4,test,micro,ok,,6900,1868,5032,15,60,0.511724321941,0.743817454972,0.0920658682635,0.521979353551,0.0102550316093,0.365072463768,371554.522762,53.8484815597,6900,1,0,0
True,always_patchcore,realizable_policy,fold4,test,macro_category,ok,,6900,1868,5032,15,60,0.602382119261,0.80241789507,0.0736527522935,0.627364143511,0.0249820242497,0.35,371554.522762,53.8484815597,6900,1,0,0
True,always_patchcore,realizable_policy,fold4,test,macro_run,ok,,6900,1868,5032,15,60,0.618364273168,0.827762758939,0.06457236917,0.679746652069,0.0613823789011,0.35,371554.522762,53.8484815597,6900,1,0,0
True,always_winclip,realizable_policy,fold0,test,micro,ok,,6900,1868,5032,15,60,0.480365595946,0.729211006209,0.709032127703,0.522373299108,0.0420077031623,0.0872463768116,530582.334553,76.8959905149,6900,1,0,0
True,always_winclip,realizable_policy,fold0,test,macro_category,ok,,6900,1868,5032,15,60,0.486560099968,0.733736669207,0.700933654305,0.623789814855,0.137229714887,0.0833333333333,530582.334553,76.8959905149,6900,1,0,0
True,always_winclip,realizable_policy,fold0,test,macro_run,ok,,6900,1868,5032,15,60,0.479417403967,0.738213088564,0.66678597877,0.677933061132,0.198515657164,0.0833333333333,530582.334553,76.8959905149,6900,1,0,0
True,always_winclip,realizable_policy,fold1,test,micro,ok,,6900,1868,5032,15,60,0.453222183167,0.721127882493,0.709632709633,0.528047264105,0.0748250809381,0.134492753623,530966.739964,76.9517014441,6900,1,0,0
