evaluator_only,policy_name,policy_kind,fold,aggregation,auroc,ap,f1,oracle_regret,estimated_runtime_ms,average_estimated_runtime_ms,tool_calls,average_tool_calls,abstention_rate
True,always_anomalydino,realizable_policy,fold0,micro,0.512405614772,0.752410167625,0.0403257076386,0.00996768433631,474792.572808,68.8105177983,6900,1,0
True,always_anomalydino,realizable_policy,fold0,macro_category,0.602904538629,0.80000977368,0.0364184213113,0.0208852762256,474792.572808,68.8105177983,6900,1,0
True,always_anomalydino,realizable_policy,fold0,macro_run,0.636458849272,0.830750391097,0.031747972006,0.0414742118599,474792.572808,68.8105177983,6900,1,0
True,always_anomalydino,realizable_policy,fold1,micro,0.507801249732,0.747204485972,0.0319501266316,0.0202460143731,475318.480322,68.8867362785,6900,1,0
True,always_anomalydino,realizable_policy,fold1,macro_category,0.605284023841,0.79477353954,0.029889621159,0.0171540811754,475318.480322,68.8867362785,6900,1,0
True,always_anomalydino,realizable_policy,fold1,macro_run,0.6374531002,0.828939363172,0.0280123568675,0.0555652997894,475318.480322,68.8867362785,6900,1,0
True,always_anomalydino,realizable_policy,fold2,micro,0.497313021076,0.74436032223,0.0338785046729,0.0216624311047,475169.137565,68.8650924008,6900,1,0
True,always_anomalydino,realizable_policy,fold2,macro_category,0.589879872478,0.79386923782,0.0332845337614,0.0224033789071,475169.137565,68.8650924008,6900,1,0
True,always_anomalydino,realizable_policy,fold2,macro_run,0.630136298893,0.827675025401,0.0298615877808,0.0424579392441,475169.137565,68.8650924008,6900,1,0
True,always_anomalydino,realizable_policy,fold3,micro,0.512729026734,0.751004306743,0.0463678516229,0.0267518077027,475178.582648,68.8664612533,6900,1,0
True,always_anomalydino,realizable_policy,fold3,macro_category,0.600643355586,0.801131514474,0.0457514623217,0.0208062355722,475178.582648,68.8664612533,6900,1,0
True,always_anomalydino,realizable_policy,fold3,macro_run,0.630268931402,0.826636899769,0.0405753478268,0.0465018903859,475178.582648,68.8664612533,6900,1,0
True,always_anomalydino,realizable_policy,fold4,micro,0.510587911882,0.746386174714,0.0487804878049,0.0113914416684,474979.131142,68.837555238,6900,1,0
True,always_anomalydino,realizable_policy,fold4,macro_category,0.603249731308,0.804284528585,0.0387173141699,0.0241144122026,474979.131142,68.837555238,6900,1,0
True,always_anomalydino,realizable_policy,fold4,macro_run,0.63135393738,0.832007831803,0.0345303984507,0.0483927146894,474979.131142,68.837555238,6900,1,0
True,always_patchcore,realizable_policy,fold0,micro,0.513372659093,0.749417016439,0.0612909404329,0.00900064001525,371709.901389,53.8710002014,6900,1,0
True,always_patchcore,realizable_policy,fold0,macro_category,0.601209480538,0.800646604727,0.0573823814276,0.0225803343162,371709.901389,53.8710002014,6900,1,0
True,always_patchcore,realizable_policy,fold0,macro_run,0.626415682206,0.829253334676,0.0512230451047,0.0515173789254,371709.901389,53.8710002014,6900,1,0
True,always_patchcore,realizable_policy,fold1,micro,0.511036965136,0.747745244213,0.0627270988717,0.0170102989688,372280.76895,53.9537346304,6900,1,0
True,always_patchcore,realizable_policy,fold1,macro_category,0.611580733173,0.803917904343,0.0560006826137,0.0108573718434,372280.76895,53.9537346304,6900,1,0
True,always_patchcore,realizable_policy,fold1,macro_run,0.633078552845,0.830250221083,0.0512917121399,0.0599398471435,372280.76895,53.9537346304,6900,1,0
True,always_patchcore,realizable_policy,fold2,micro,0.49963977865,0.743118400458,0.0737082066869,0.0193356735309,371769.694751,53.8796659059,6900,1,0
True,always_patchcore,realizable_policy,fold2,macro_category,0.589383695189,0.793163448146,0.067512353375,0.0228995561961,371769.694751,53.8796659059,6900,1,0
True,always_patchcore,realizable_policy,fold2,macro_run,0.611125289347,0.820222946493,0.0590772521403,0.0614689487896,371769.694751,53.8796659059,6900,1,0
True,always_patchcore,realizable_policy,fold3,micro,0.523807801377,0.750636847695,0.0660557464681,0.0156730330595,371868.783145,53.8940265427,6900,1,0
True,always_patchcore,realizable_policy,fold3,macro_category,0.61117354226,0.805486934971,0.0592183985861,0.0102760488986,371868.783145,53.8940265427,6900,1,0
True,always_patchcore,realizable_policy,fold3,macro_run,0.630901908636,0.8287332916,0.0553109537253,0.0458689131518,371868.783145,53.8940265427,6900,1,0
True,always_patchcore,realizable_policy,fold4,micro,0.511724321941,0.743817454972,0.0920658682635,0.0102550316093,371554.522762,53.8484815597,6900,1,0
True,always_patchcore,realizable_policy,fold4,macro_category,0.602382119261,0.80241789507,0.0736527522935,0.0249820242497,371554.522762,53.8484815597,6900,1,0
True,always_patchcore,realizable_policy,fold4,macro_run,0.618364273168,0.827762758939,0.06457236917,0.0613823789011,371554.522762,53.8484815597,6900,1,0
True,always_winclip,realizable_policy,fold0,micro,0.480365595946,0.729211006209,0.709032127703,0.0420077031623,530582.334553,76.8959905149,6900,1,0
True,always_winclip,realizable_policy,fold0,macro_category,0.486560099968,0.733736669207,0.700933654305,0.137229714887,530582.334553,76.8959905149,6900,1,0
True,always_winclip,realizable_policy,fold0,macro_run,0.479417403967,0.738213088564,0.66678597877,0.198515657164,530582.334553,76.8959905149,6900,1,0
True,always_winclip,realizable_policy,fold1,micro,0.453222183167,0.721127882493,0.709632709633,0.0748250809381,530966.739964,76.9517014441,6900,1,0
True,always_winclip,realizable_policy,fold1,macro_category,0.482285271097,0.73458367757,0.709897880055,0.140152833919,530966.739964,76.9517014441,6900,1,0
True,always_winclip,realizable_policy,fold1,macro_run,0.481641110353,0.742174925849,0.686187465668,0.211377289636,530966.739964,76.9517014441,6900,1,0
True,always_winclip,realizable_policy,fold2,micro,0.468236051583,0.725282046038,0.712367207857,0.0507394005985,530652.161572,76.9061103727,6900,1,0
True,always_winclip,realizable_policy,fold2,macro_category,0.490400132208,0.7375125408,0.714465616594,0.121883119177,530652.161572,76.9061103727,6900,1,0
True,always_winclip,realizable_policy,fold2,macro_run,0.490519136645,0.745843763228,0.688870605473,0.182075101492,530652.161572,76.9061103727,6900,1,0
True,always_winclip,realizable_policy,fold3,micro,0.470964308086,0.725705158109,0.709269662921,0.0685165263513,530791.251648,76.9262683547,6900,1,0
True,always_winclip,realizable_policy,fold3,macro_category,0.492560821138,0.736833687629,0.701959523033,0.12888877002,530791.251648,76.9262683547,6900,1,0
True,always_winclip,realizable_policy,fold3,macro_run,0.476442369814,0.737979957914,0.66920011913,0.200328451974,530791.251648,76.9262683547,6900,1,0
True,always_winclip,realizable_policy,fold4,micro,0.456150231665,0.721451183483,0.700642054575,0.0658291218855,530319.387124,76.8578821919,6900,1,0
True,always_winclip,realizable_policy,fold4,macro_category,0.482504546084,0.734556231372,0.704041307309,0.144859597427,530319.387124,76.8578821919,6900,1,0
True,always_winclip,realizable_policy,fold4,macro_run,0.485088272272,0.741365760681,0.681554244209,0.194658379797,530319.387124,76.8578821919,6900,1,0
True,best_single_expert,evaluator_only_reference,fold0,micro,0.512405614772,0.752410167625,0.0403257076386,0.00996768433631,474580.615132,68.7797992945,6900,1,0
True,best_single_expert,evaluator_only_reference,fold0,macro_category,0.602904538629,0.80000977368,0.0364184213113,0.0208852762256,474580.615132,68.7797992945,6900,1,0
True,best_single_expert,evaluator_only_reference,fold0,macro_run,0.636458849272,0.830750391097,0.031747972006,0.0414742118599,474580.615132,68.7797992945,6900,1,0
